admin_division_name,gazeteer_closest_point,location_description,latitude,longitude,rain_report (trigger),inclination,soil_moisture,temperature
Arunachal Pradesh,Tawang,"Tawang, Arunachal Pradesh",27.5799,91.8569,continuous_rain,46.67,0.673,31.0
Arunachal Pradesh,Tawang,Babrang village under Jang circle in Tawang district,27.5754,91.9754,downpour,33.42,0.689,21.4
Arunachal Pradesh,Bomdila,East Kameng district in Arunachal Pradesh bordering China,27.44,92.2833,rain,25.73,0.688,26.9
Nagaland,Mokokchūng,"Longsa, Nagaland",26.2083,94.5438,monsoon,44.36,0.696,23.3
Manipur,Thoubāl,"near Kuloor church, in Manipur along National Highway",24.6596,93.9784,monsoon,30.31,0.692,26.7
Nagaland,Kohima,"Chiechama, Nagaland",25.8266,94.1497,continuous_rain,53.21,0.842,27.8
Assam,Guwahati,"Pub Sarania hill, South Sarania, Guwahati, Assam, India",26.1768,91.7702,monsoon,53.62,0.705,30.0
Arunachal Pradesh,Ziro,"Koloriang, Kuring Kumey district, Arunachal Pradesh",27.8997,93.3497,downpour,52.45,0.754,22.5
Sikkim,Kālimpang,"NH-10, Sepi Jhora, Kalimpong",27.0816,88.4397,continuous_rain,36.1,0.919,20.1
Mizoram,Aizawl,"Laipuitland , Aizawl, Mizoram",23.7281,92.7175,rain,25.46,0.792,21.6
Manipur,Imphal,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",25.16,93.686,monsoon,52.85,0.85,30.8
Meghalaya,Shillong,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",25.3433,92.2897,downpour,37.85,0.702,30.5
Arunachal Pradesh,Tawang,"Tawang Monastery, Arunachal Pradesh",27.5798729,91.85672387,unknown,54.0,0.708,27.2
Assam,Guwahati,"Boragaon, North Guwahati, Guwahati, Assam,",26.1016,91.6906,rain,53.91,0.662,27.2
Mizoram,Kolasib,"Kolasib, Saiha, Mizoram,",24.2315,92.6755,rain,50.59,0.701,28.0
Assam,Guwahati,"Kharghuli, Guwahati, Assam",26.1965,91.763,downpour,33.83,0.734,22.1
Assam,Dispur,Natonal Highway in Jorabat area,26.1028,91.8806,continuous_rain,36.55,0.703,31.0
Nagaland,Zunheboto,"Suruhuto Town, Nagaland",26.0838,94.564,rain,50.53,0.677,25.0
Mizoram,Sāitlaw,"National Highway 54, at Kawnpui town",24.042,92.6724,downpour,34.51,0.686,24.6
Arunachal Pradesh,Naharlagun,Itanagar/Naharlagur/Nirjuli,27.125,93.7145,downpour,30.08,0.788,26.2
Arunachal Pradesh,Motuo,"Dibang Valley, Arunachal Pradesh",28.8254,96.1509,rain,41.7,0.712,20.6
Manipur,Kakching,Senam,24.416,94.0984,continuous_rain,53.08,0.759,22.0
Nagaland,Tuensang,"Yakshu, Nagaland",26.4205,94.9731,unknown,45.88,0.801,28.9
Nagaland,Kohima,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",25.4786,94.1327,downpour,42.1,0.857,21.0
Nagaland,Kohima,NH-61 between Botsa and Chiechama,25.8782,94.1739,downpour,27.92,0.662,27.2
Sikkim,Namchi,Namchi,27.1695,88.3664,rain,43.45,0.89,22.9
Assam,Karīmganj,Ratacherra,25.0318,92.4584,rain,54.7,0.838,24.7
Arunachal Pradesh,Along,"Gosang Village Under Jengging Circle, Arunachal Pradesh",28.611,94.9829,downpour,29.2,0.675,23.5
Mizoram,Khawhai,"Ngur, near Mizoram-Myanmar border, India",23.5397,93.3783,continuous_rain,40.55,0.912,24.3
Assam,Dispur,"Sonaighuli area near Kahilipara, Guwahati City, Assam",26.1049,91.7369,downpour,51.32,0.926,28.6
Arunachal Pradesh,Motuo,"Arunachal Pradesh, Dibang,",28.8254,96.1517,downpour,47.22,0.668,23.6
Arunachal Pradesh,Bomdila,Type-IV Colony of Seppa in East Kameng,27.36,93.0385,monsoon,45.91,0.733,26.8
Assam,Dispur,"Batahguli, Guwahati, Assam",26.1309,91.8383,downpour,46.07,0.892,25.7
Arunachal Pradesh,Pāsighāt,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",28.3036,95.4112,downpour,35.78,0.874,28.0
Manipur,Imphal,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",25.1555,93.8474,continuous_rain,33.81,0.705,31.2
Nagaland,Kohima,"Bungte Chiru village(?), Senapati district, Manipur",25.2745,94.0212,downpour,49.28,0.713,28.8
Mizoram,Serchhīp,"road to Kanan Veng from Hunthar Veng, Mizoram",23.73504471,92.71060943,downpour,49.3,0.761,22.6
Assam,Hāflong,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",25.0888,92.8551,downpour,51.01,0.795,20.4
Sikkim,Gangtok,"Daragaon(?), Gangtok city, Sikkim",27.3392,88.6188,downpour,52.4,0.835,23.1
Meghalaya,Dispur,Byrnihat,26.048,91.8695,unknown,40.34,0.761,27.1
Mizoram,Khawhai,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",23.3439,93.0748,downpour,40.05,0.789,20.6
Meghalaya,Tura,Akonggre,25.5084,90.2191,downpour,48.95,0.874,26.0
Assam,Amguri,Kangtsung Village,26.7103,94.693,downpour,44.5,0.661,27.2
Sikkim,Gangtok,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",27.3543,88.6428,downpour,46.06,0.726,24.0
Assam,Lakhipur,"Nungba, Tamenglong, Manipur",24.7679,93.4108,downpour,48.87,0.864,29.3
Nagaland,Phek,Meluri Sub-Division in Phek District of Nagaland,25.72,94.6219,continuous_rain,51.7,0.919,21.3
Nagaland,Zunheboto,"Zunheboto, Nagaland, India",26.0101,94.5282,downpour,35.14,0.804,20.9
Nagaland,Kohima,"Lower Pezielietsie(Tinpati), Kohima, Manipur",25.682,94.1076,downpour,36.27,0.81,28.7
Mizoram,Aizawl,"Aizawl, Mizoram, India",23.7348,92.7187,downpour,27.82,0.682,25.9
Meghalaya,Netrakona,NH-62 at Sibbari,25.2193,90.5549,continuous_rain,42.35,0.784,28.3
Arunachal Pradesh,Tawang,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",27.5748,91.8644,monsoon,26.08,0.81,25.2
Nagaland,Kohima,"Senapati, Manipur",25.318,94.0441,downpour,38.97,0.723,23.0
Manipur,Bishnupur,Khoupum,24.7016,93.5291,continuous_rain,41.28,0.731,29.8
Assam,Hāflong,"rails between Jatinga and Longrangjao(?), Assam",25.0633,92.8025,downpour,33.6,0.763,29.6
Nagaland,Kohima,"NH-61, 1 km before reaching Botsa",25.6703,94.1095,downpour,42.72,0.656,28.3
Nagaland,Kohima,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",25.705,94.04,downpour,25.92,0.747,23.3
Nagaland,Mokokchūng,Mokokchung,26.3186,94.5121,downpour,26.12,0.713,27.1
Manipur,Imphal,Ukhrul town Circular road from Rayotang to Viewland Zone II,25.1122,94.3591,continuous_rain,49.68,0.748,24.3
Arunachal Pradesh,Damnyain,"Tuting, Upper Siang , Arunachal Pradesh",28.9986,94.8885,downpour,35.81,0.686,21.1
Nagaland,Mon,"Jahjon ward(?), Mon town, Nagaland",26.7215,95.0283,downpour,28.81,0.917,31.0
Sikkim,Namchi,Geyzing-Jorethang road and Naya Bazar-Legship road,27.2872,88.2816,rain,40.67,0.828,21.6
Mizoram,Aizawl,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",23.7365,92.7146,downpour,48.1,0.854,31.4
Mizoram,Sairang,"Dapchhuah, Mamit, Mizoram",23.7705,92.5217,downpour,31.47,0.887,25.4
Nagaland,Mokokchūng,"Suruhuto Town, Nagaland",26.1498,94.6055,monsoon,43.69,0.8,22.2
Nagaland,Tuensang,"Tuensang-Shamatore(Sampurre) rd, Nagaland",26.148,94.8422,downpour,27.56,0.676,26.5
Meghalaya,Tura,"Garo Hills, Tura",25.5144,90.2167,downpour,26.55,0.811,30.5
Meghalaya,Nongstoin,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",25.52,91.27,rain,40.94,0.826,28.8
Assam,Guwahati,"Kharghuli Hills, Assam",26.1964,91.7652,rain,41.22,0.874,29.7
Manipur,Wāngjing,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station,24.4265,94.1913,continuous_rain,44.12,0.779,27.9
Mizoram,Serchhīp,"Tuikual 'C', Aizawl, Mizoram",23.72988966,92.71495623,downpour,46.78,0.688,28.3
Assam,Dispur,Guwahati,26.1833,91.8,rain,54.28,0.735,30.2
Sikkim,Namchi,Hingdam village in South Sikkim,27.1667,88.35,rain,40.49,0.759,23.0
Meghalaya,Nongpoh,Jorabat-Umiam route,25.9702,91.8587,rain,34.69,0.844,25.9
Sikkim,Gangtok,"Tathangchen, Gangtok, Sikkim ",27.339,88.6065,downpour,48.86,0.821,22.7
Nagaland,Kohima,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",25.4993,94.1192,rain,33.12,0.757,31.9
Meghalaya,Tura,Tura,25.5212,90.232,rain,38.17,0.946,31.3
Manipur,Mawlaik,"Wayang, Khengjoi",23.9278,94.0906,rain,27.35,0.832,20.5
Manipur,Imphal,Tamenglong,24.9667,93.55,continuous_rain,25.76,0.721,28.5
Assam,Hāflong,"between Haflong and  Bagetar, Assam",25.1775,93.0123,downpour,53.88,0.681,31.1
Assam,Maibong,"between Maibang and Daotohaja, Assam",25.3056,93.1265,downpour,50.08,0.696,22.2
Manipur,Phek,Ukhrul NH 201-Jessami road,25.1941,94.4481,continuous_rain,45.88,0.724,26.8
Nagaland,Kohima,"Maram area in Senapati district, National Highway 39",25.4196,94.1054,downpour,37.27,0.698,31.0
Nagaland,Kohima, Botsa  and Chiechama,25.83,94.13,monsoon,30.2,0.706,20.4
Assam,Mahur,"Khongsang, Tamenglong, Manipur,",24.9926,93.4946,rain,29.69,0.736,28.4
Mizoram,Thenzawl,"Mizoram, India",23.4495,92.8112,downpour,32.51,0.702,23.6
Manipur,Imphal,Heibok Hills,24.7992,93.948,downpour,41.48,0.919,31.1
Assam,North Guwāhāti,"Nilachal Hill, Guwahati, Assam",26.1665,91.7049,downpour,46.44,0.674,31.7
Nagaland,Mokokchūng,"Fazl Ali College, Mokokchung, Nagaland",26.3335,94.5512,downpour,44.81,0.807,31.3
Manipur,Imphal,Imphal-Ukhrul road,24.954,94.2156,continuous_rain,33.4,0.773,25.7
Assam,Hāflong,"Haflong, Assam",25.1796,93.0083,downpour,53.65,0.945,30.3
Nagaland,Kohima,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",25.4379,94.1162,rain,47.14,0.684,30.1
Nagaland,Kohima,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",25.7055,94.0132,rain,41.63,0.769,23.8
Arunachal Pradesh,Naharlagun,"Hoj-Potin Highway, Arunachal Pradesh, India",27.3034,93.804,downpour,43.35,0.941,29.9
Arunachal Pradesh,Pāsighāt,"Mosing village, Upper Siang district, Arunachal Pradesh",28.3092,95.4149,downpour,37.59,0.91,20.4
Nagaland,Zunheboto,Kiphire-Seyochung road near Yangzitong village,25.9466,94.6279,unknown,32.43,0.895,27.2
Assam,Mahur,"rails between Mahur and Wadringdisa(?), Assam",25.2269,93.1658,downpour,35.68,0.727,22.8
Nagaland,Mon,"Mon, Nagaland",26.7225,95.0281,monsoon,47.74,0.701,21.4
Manipur,Kakching,Chandel,24.3481,94.1146,unknown,25.43,0.851,20.9
Assam,Soalkuchi,Kailashpur hill,26.1468,91.6469,mining,28.48,0.929,28.4
Meghalaya,Shillong,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,25.3612,92.2845,downpour,26.38,0.817,24.1
Assam,Hailākāndi,,24.6108,92.562,mining,26.22,0.821,28.7
Meghalaya,Tura,National Highway 51,25.7354,90.3852,continuous_rain,50.66,0.734,20.8
Meghalaya,Lakhipur,Meghalaya,25.8143,90.5763,continuous_rain,46.11,0.881,23.8
Nagaland,Kohima,power lines 5 km from Kohima,25.63961883,94.11112157,downpour,39.23,0.706,26.5
Assam,Lāla,"Ramchandi , Hailakandi District, Assam, India",24.5308,92.5121,continuous_rain,27.94,0.747,29.5
Sikkim,Namchi,Legship,27.2676,88.2891,continuous_rain,39.75,0.778,23.8
Mizoram,Aizawl,three graveyards within Aizawl,23.7269,92.7265,downpour,39.2,0.802,27.5
Manipur,Kohima,NH-2 between Senapati and Mao,25.3908,94.0926,continuous_rain,30.2,0.723,30.6
Tripura,Khowai,"Purba Simna, Tripura",24.0896,91.4663,rain,38.02,0.684,27.4
Assam,Guwahati,"Noonmati, Guwahati, Assam, India",26.1966,91.802,rain,36.96,0.833,22.8
Assam,Maibong,"between Mahur and Maigrandisa(?) or Lumding, Assam",25.4749,93.1477,downpour,43.48,0.737,20.3
Assam,Dispur,Lalmati,26.1097,91.7747,rain,44.05,0.824,30.4
Nagaland,Mokokchūng,"Dikhu bridge(?), Mokokchung-Tuensang road, Nagaland",26.2753,94.6654,downpour,26.36,0.696,20.3
Assam,Guwahati,Pamohi,26.1001,91.6849,rain,36.24,0.794,30.5
Arunachal Pradesh,Along,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",28.235,94.9612,downpour,43.78,0.81,26.3
Assam,Dispur,Guwahati,26.1699,91.7986,rain,40.09,0.666,31.3
